,Average account balance,TN debtor transactions,TN creditor transactions,TN transactions,average debtor transaction,average creditor transaction,DBNCD,DFACD,Label
5551,0.051741264126327915,2.2813821197394346e-08,1.5317851375393346e-08,3.8131672572787695e-08,0.42654063616578786,0.8151081160548787,-7.495969822001e-09,0.3885674798890908,0
5552,0.18980315142000423,1.9131873177921833e-08,5.9787103681005726e-09,2.5110583546022404e-08,0.11082153800403421,0.7429980884686664,-1.3153162809821259e-08,0.6321765504646322,0
5553,0.8891932931641213,8.746115176500754e-07,2.8200614960127428e-06,3.6946730136628183e-06,0.36866863528208105,0.1320827941959582,1.9454499783626676e-06,-0.23658584108612285,2
5554,0.5607022765941183,1.1676943565635481e-07,3.8569298444068713e-07,5.024624200970419e-07,0.6601231462717019,0.20363154375950032,2.689235487843323e-07,-0.4564916025122015,1
5555,0.2629120468701469,1.5431508053089033e-07,5.542068483582513e-07,7.085219288891416e-07,0.7858565349240334,0.44047569318278446,3.99891767827361e-07,-0.3453808417412489,1
5556,0.707628048735361,3.5424760690996143e-06,4.69054208392761e-07,4.011530277492375e-06,0.06869117514284741,0.5304226119793882,-3.0734218607068534e-06,0.4617314368365408,0
5557,0.2372918363734002,1.498279264449012e-08,5.993117057796049e-09,2.097590970228617e-08,0.20234319299963516,0.7653547161139068,-8.989675586694073e-09,0.5630115231142717,0
5558,0.5920167489863346,1.496136901817946e-08,1.8701711272724325e-08,3.3663080290903785e-08,0.621785145539902,0.49742811643192164,3.740342254544865e-09,-0.12435702910798041,1
5559,0.06674335540884369,6.663005479604587e-08,1.7290077510366335e-08,8.392013230641221e-08,0.2499424835896417,0.7964764379230107,-4.9339977285679536e-08,0.5465339543333689,0
5560,0.09007201150936661,5.636892699857646e-08,2.8469155049786093e-08,8.483808204836255e-08,0.289275431215185,0.8028043434783574,-2.7899771948790372e-08,0.5135289122631723,0
5561,0.2673585747220164,1.025900821193761e-06,5.746396692024362e-08,1.0833647881140047e-06,0.05276532932835948,0.7062146742631503,-9.684368542735175e-07,0.6534493449347908,0
5562,0.27583802468951185,2.0935784931554574e-08,1.6050768447525173e-07,1.8144346940680629e-07,0.7848186060484738,0.39118098394813955,1.3957189954369714e-07,-0.39363762210033426,1
